District,Area,Population,Latitude,Longitude,Price,Count
Ba Đình,9.224,"247,100",21.036667,105.836111,252132.6712503138,1624
Bắc Từ Liêm,43.35,"333,300",21.074832,105.770597,91049.91394148151,812
Cầu Giấy,12.04,"266,800",21.018907,105.797624,322580.6451612922,406
Đống Đa,9.96,"420,900",21.012862,105.829642,176190.47619047502,1218
Hai Bà Trưng,10.09,"318,000",21.006483,105.853338,151364.55525606245,812
Hà Đông,47.917,"319,800",20.959251,105.765959,115615.2968070532,620
Hoàn Kiếm,5.29,"160,600",21.028408,105.854064,189143.5988344589,72
Hoàng Mai,41.04,"411,500",20.978733,105.8634,65789.4736842099,406
Long Biên,60.38,"291,900",21.026478,105.896822,102968.11528059341,162
Nam Từ Liêm,32.27,"236,700",21.014968,105.768715,98611.1111111113,812
Tây Hồ,24,"168,300",21.075463,105.816021,181683.74826227638,255
Thanh Xuân,9.11,"285,400",20.997596,105.810656,117857.14285714361,812
